paper_id,short_title,stage,year_month,role_group,role_group_zh,raw_role_author_name,clean_author_name,departed_mark,source_file,source_basis
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Xiao Bi,Xiao Bi,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Deli Chen,Deli Chen,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Guanting Chen,Guanting Chen,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Shanhuang Chen,Shanhuang Chen,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Damai Dai,Damai Dai,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Chengqi Deng,Chengqi Deng,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Honghui Ding,Honghui Ding,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Kai Dong,Kai Dong,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Qiushi Du,Qiushi Du,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Zhe Fu,Zhe Fu,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Huazuo Gao,Huazuo Gao,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Kaige Gao,Kaige Gao,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Wenjun Gao,Wenjun Gao,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Ruiqi Ge,Ruiqi Ge,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Author list only,作者名单（原文未拆角色）,Kang Guan,Kang Guan,,C:\Users\Esthe\Documents\New project\data\deepseek_papers\raw\ar5iv_2401.02954.html,paper_author_list_no_role_split
