author,paper_count,topic_count,first_seen,last_seen,topics,主模型,系统/效率,多模态,数学/证明,代码,推理/RL,OCR
Chong Ruan,18,6,2024-01,2026-05,主模型、系统/效率、多模态、数学/证明、代码、推理/RL,5,3,4,3,1,2,0
Zhenda Xie,16,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,4,4,0,2,1,0
Yukun Li,14,7,2024-01,2026-05,主模型、系统/效率、多模态、数学/证明、代码、推理/RL、OCR,5,2,1,1,2,1,2
Damai Dai,14,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,6,1,0,1,1,0
Yu Wu,13,6,2024-01,2026-05,主模型、系统/效率、多模态、数学/证明、代码、推理/RL,5,2,1,1,2,2,0
Wenfeng Liang,13,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,5,0,0,2,1,0
Huazuo Gao,12,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,4,1,0,1,1,0
Qihao Zhu,12,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,4,2,1,0
Zhihong Shao,12,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,5,1,1,0
Chengqi Deng,11,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,3,1,0,1,1,0
Liyue Zhang,11,5,2024-01,2026-05,主模型、系统/效率、数学/证明、代码、推理/RL,5,2,0,2,1,1,0
Runxin Xu,11,5,2024-01,2026-05,主模型、系统/效率、数学/证明、代码、推理/RL,5,2,0,1,1,2,0
Shirong Ma,11,5,2024-01,2026-05,主模型、系统/效率、数学/证明、代码、推理/RL,5,1,0,2,1,2,0
Daya Guo,11,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,3,2,1,0
Xingkai Yu,11,4,2024-01,2026-05,主模型、系统/效率、多模态、推理/RL,5,2,3,0,0,1,0
Bingxuan Wang,10,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,1,2,0,1,1,0
Chenggang Zhao,10,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,3,0,0,1,1,0
Dejian Yang,10,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,2,2,1,0
Jiashi Li,10,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,3,0,0,1,1,0
Junxiao Song,10,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,3,1,1,0
Kai Dong,10,4,2024-01,2026-05,主模型、多模态、代码、推理/RL,5,0,2,0,2,1,0
Wangding Zeng,10,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,4,4,0,0,1,1,0
Yaofeng Sun,10,4,2024-01,2026-05,主模型、多模态、推理/RL、OCR,5,0,2,0,0,1,2
Wen Liu,10,3,2024-01,2026-05,主模型、多模态、推理/RL,5,0,4,0,0,1,0
Deli Chen,9,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,2,0,0,1,1,0
Peiyi Wang,9,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,1,1,2,0
Wenjun Gao,9,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,2,1,1,0
Xiao Bi,9,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,1,2,1,0
Panpan Huang,9,3,2024-01,2026-05,主模型、系统/效率、推理/RL,5,3,0,0,0,1,0
Shangyan Zhou,9,3,2024-01,2026-05,主模型、系统/效率、推理/RL,5,3,0,0,0,1,0
Fuli Luo,8,5,2024-01,2025-01,主模型、系统/效率、数学/证明、代码、推理/RL,3,1,0,1,2,1,0
Hanwei Xu,8,4,2024-01,2026-05,主模型、多模态、代码、推理/RL,5,0,1,0,1,1,0
Haowei Zhang,8,4,2024-01,2026-05,主模型、多模态、数学/证明、推理/RL,5,0,1,1,0,1,0
Kang Guan,8,4,2024-01,2026-05,主模型、多模态、代码、推理/RL,5,0,1,0,1,1,0
Liang Zhao,8,4,2024-05,2026-05,主模型、系统/效率、多模态、推理/RL,4,2,1,0,0,1,0
Qiushi Du,8,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,1,1,1,0
Wentao Zhang,8,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,1,0,0,1,1,0
Xin Xie,8,4,2024-01,2026-05,主模型、多模态、代码、推理/RL,5,0,1,0,1,1,0
Yishi Piao,8,4,2024-01,2026-05,主模型、多模态、代码、推理/RL,5,0,1,0,1,1,0
Yuxiang You,8,4,2024-01,2026-05,主模型、多模态、代码、推理/RL,5,0,1,0,1,1,0
Yuxuan Liu,8,4,2024-05,2026-05,主模型、系统/效率、数学/证明、推理/RL,4,2,0,1,0,1,0
Zhewen Hao,8,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,1,0,0,1,1,0
Zhibin Gou,8,4,2024-06,2026-05,主模型、数学/证明、代码、推理/RL,3,0,0,3,1,1,0
Xiaokang Chen,8,3,2024-05,2026-05,主模型、多模态、推理/RL,4,0,3,0,0,1,0
Qinyu Chen,7,4,2024-05,2026-05,主模型、系统/效率、代码、推理/RL,4,1,0,0,1,1,0
Zhuoshu Li,7,4,2024-03,2026-05,主模型、系统/效率、多模态、推理/RL,4,1,1,0,0,1,0
Guanting Chen,7,3,2024-01,2026-05,主模型、代码、推理/RL,5,0,0,0,1,1,0
Jingyang Yuan,7,3,2024-05,2026-05,主模型、系统/效率、推理/RL,4,2,0,0,0,1,0
Lean Wang,7,3,2024-05,2026-05,主模型、系统/效率、推理/RL,4,2,0,0,0,1,0
